1,โครงการเพื่อชุมชนเข้มแข็งและร่มเย็นบ้านสันติ ๒,เพื่อแก้ไขปัญหาและช่วยเหลือราษฎรที่อาศัยอยู่ในหมู่บ้านที่ได้รับผลกระทบจากเหตุการณ์ความไม่สงบเรียบร้อย ใน ๓ จังหวัดชายแดนภาคใต้,"เมื่อวันที่ ๓ กุมภาพันธ์ พุทธศักราช ๒๕๕๐ พระบาทสมเด็จพระเจ้าอยู่หัว มีพระราชดำริ ให้แก้ไขปัญหาและช่วยเหลือราษฎรที่อาศัยอยู่ในหมู่บ้านที่ได้รับผลกระทบจากเหตุการณ์ความไม่สงบเรียบร้อย ใน ๓ จังหวัดชายแดนภาคใต้ (จังหวัดปัตตานี ยะลา และนราธิวาส) และได้อพยพไปอาศัยอยู่ที่วัดนิโรธสังฆาราม อำเภอเมือง จังหวัดยะลา เนื่องจากหวาดกลัวและไม่กล้าที่จะอยู่อาศัยในหมู่บ้านเดิม 
พระบาทสมเด็จพระเจ้าอยุ่หัว พระราชทานแนวทางการช่วยเหลือราษฎรเพื่อจัดที่อยู่อาศัย โครงสร้างพื้นฐาน และเส้นทางคมนาคมให้แก่ราษฎรที่ได้รับผลกระทบจากเหตุการณ์ความไม่สงบใน ๓ จังหวัดชายแดนภาคใต้ โดยได้พระราชทานชื่อโครงการว่า โครงการเพื่อชุมชนเข้มแข็งและร่มเย็นบ้านสันติ ๒ และพระราชทานวัตถุประสงค์ ๔ ประการ คือ
๑) ความปลอดภัยและมั่นคงในชีวิต
๒) ครอบครัวอบอุ่น คุณภาพชีวิตที่สดใสและสมบูรณ์
๓) ทำมาหากิน และมีที่ทำกินที่ดี มีกิจกรรมเสริมอาชีพที่เหมาะสม
๔) ได้รับการดูแลเรื่องสุขภาพอนามัย และการศึกษาของเยาวชนและลูกหลานที่เหมาะสม
ผลจากการดำเนินโครงการเพื่อชุมชนเข้มแข็งและร่มเย็นบ้านสันติ ๒ ทำให้ราษฎรในพื้นที่มีความรัก ความสามัคคี อยู่ดีมีความสุขและความร่มเย็น และด้วยสำนึกในพระมหากรุณาธิคุณอย่างหาที่สุดมิได้ ราษฎรในหมู่บ้านได้พร้อมใจกันกล่าวปฏิญาณตนว่า จะจงรักภักดีต่อชาติ ศาสนา พระมหากษัตริย์ และจะประพฤติตนเป็นพลเมืองที่ดี และเสริมสร้างความสมานฉันท์ เพื่อให้หมู่บ้านสันติ ๒ เป็นต้นแบบหมู่บ้านชุมชนเข้มแข็งและร่มเย็นตลอดไป 
",หมู่ที่ ๖ ตำบลแม่หวาด อำเภอธารโต จังหวัดยะลา,#โครงการเพื่อชุมชนเข้มแข็งและร่มเย็นบ้านสันติ ๒
2,โครงการพัฒนาอาชีพการเกษตรพื้นที่พรุแฆแฆอันเนื่องมาจากพระราชดำริ  (กิจกรรมขยายเขตไฟฟ้าและจัดหารถฟาร์มแทรกเตอร์),เพื่อช่วยเหลือเกษตรกรในการพัฒนาอาชีพ โดยขยายเขตไฟฟ้ามายังโครงการ และจัดหารถฟาร์ม แทรกเตอร์พร้อมอุปกรณ์ เพื่อบริการเกษตรกรในการบุกเบิกปรับพื้นที่เตรียมดินในการปลูกพืช,"เมื่อวันที่ ๑๖ กันยายน พุทธศักราช ๒๕๔๖  พระบาทสมเด็จพระเจ้าอยู่หัว มีพระราชดำริ ให้ช่วยเหลือเกษตรกรในการพัฒนาอาชีพ โดยขยายเขตไฟฟ้ามายังโครงการ และจัดหารถฟาร์ม แทรกเตอร์พร้อมอุปกรณ์ เพื่อบริการเกษตรกรในการบุกเบิกปรับพื้นที่เตรียมดินในการปลูกพืช การดำเนินงาน พัฒนาอาชีพการเกษตร โดยขยายเขตไฟฟ้าและจัดหารถฟาร์มแทรกเตอร์พร้อมอุปกรณ์ เพื่อบริการเกษตรกรโดยการขยายเขตไฟฟ้าเข้าพื้นที่โครงการ และปักเสาคอนกรีตอัดแรงขนาด ๙ เมตร จำนวน ๙๕ ต้น พาดสายอะลูมิเนียมเปลือยและหุ้มฉนวน ขนาด ๖๐ ตารางมิลลิเมตร ระบบ ๑ เฟส ๓ สาย ระยะทาง ๗,๖๒๒ เมตรพร้อมอุปกรณ์ยึดโยง จำนวน ๕๐ ชุด และจัดหารถฟาร์มแทรกเตอร์พร้อมอุปกรณ์ จำนวน ๑ คัน ทำให้ราษฎรจำนวน ๑๓๘ ราย มีไฟฟ้าเพื่อช่วย อำนวยความสะดวกในการสูบน้ำ เพื่อใช้ทำการเกษตรพื้นที่รวม ๑,๐๐๐ ไร่ ทำให้ราษฎร จำนวน ๗ หมู่บ้านประชากร ๒๕๒ ครัวเรือน มีรถฟาร์มแทรกเตอร์สำหรับใช้ในการปรับปรุงพื้นที่ทำการเกษตร  จำนวน ๑,๐๐๐ ไร่
ผลการดำเนินงาน ปี ๒๕๔๗ จังหวัด ปัตตานี ได้ ดำเนิน การ ขยาย เขต ไฟฟ้า เข้า พื้นที่ โครงการ ฯ โดย การ ปัก เสา คอนกรีตอัดแรง ขนาด ๔ เมตร จำนวน ๔๕ ต้น พาด สาย อ ลู มิ เนียม เปลือย และ หุ้ม ฉนวน ขนาด 50 ตาราง มิลลิเมตร ระบบ ๑ เฟส ๓ สาย ระยะ ทาง ๗,๖๒๒ เมตร พร้อม อุปกรณ์ ยึด โยง จำนวน ๕๐ ชุด และ จัดหา รถ ฟาร์ม แทรกเตอร์ พร้อม อุปกรณ์ จำนวน 5 คัน
",อำเภอสายบุรี อำเภอปะนาเระ จังหวัดปัตตานี,#โครงการพัฒนาอาชีพเกษตรพื้นที่พรุแฆแฆ
3,โครงการจัดหาน้ำให้ราษฎรบ้านตะเหลียง,เพื่อช่วยเหลือราษฎรบ้านตะเหลียงในเรื่องระบบไฟฟ้า ถนน และระบบส่งน้ำเพื่อการเกษตร,"เมื่อวันที่ 13 กันยายน 2546 สมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ พระบรมราชชนนีพันปีหลวง เสด็จพระราชดำเนินพร้อมด้วยพระบาทสมเด็จพระเจ้าอยู่หัว ไปยังหมู่บ้านปศุสัตว์ - เกษตรมูโนะ หมู่ที่ 4 ตำบลโฆษิต อำเภอตากใบ จังหวัดนราธิวาส เพื่อทรงงานศิลปาชีพและเยี่ยมเยียนราษฎร ในการนี้พระบาทสมเด็จพระเจ้าอยู่หัว ได้มีพระราชกระแสให้ดำเนินการช่วยเหลือราษฎรบ้านตะเหลียงในเรื่องระบบไฟฟ้า ถนน และระบบส่งน้ำเพื่อการเกษตร ตามที่นายลือแม เจ๊ะสาแลแม ผู้ใหญ่บ้านตะเหลียง หมู่ที่ 4 ตำบลเกาะสะท้อน อำเภอตากใบ ขอพระราชทานความช่วยเหลือ
         กรมชลประทานจึงได้ดำเนินตามแนวพระราชดำริเป็นโครงการส่งน้ำและบำรุงรักษาลุ่มน้ำโก-ลก จังหวัดนราธิวาส เป็นคลองดิน ต่อมาในปี 2547 ได้ดำเนินการปรับปรุงให้เป็นคลองดาดคอนกรีต รวมทั้งสิ้น 2 สาย สามารถช่วยเหลือราษฎรที่ประสบปัญหาน้ำท่วมในฤดูฝน ตลอดจนช่วยเหลือเกษตรกรที่ขาดแคลนน้ำเพื่อการเกษตร  อุปโภค  บริโภคในฤดูแล้ง ปัญหาน้ำเค็มรุกล้ำตามลำน้ำ และปัญหาน้ำเปรี้ยวจากพรุโต๊ะแดง และประชาชนบริเวณรอบ ๆ และใกล้เคียงพื้นที่โครงการก็ได้รับประโยชน์โครงการดังกล่าวด้วย ไม่ว่าจะเป็นเรื่องได้มีน้ำในการอุปโภค  บริโภค ทำการเกษตรในพื้นที่แปลงเกษตรผสมผสานบ้านปูยู ตำบลเกาะสะท้อง  พื้นที่แปลงเกษตรบ้านปศุสัตว์  เกษตรมูโนะ ตำบลโฆษิต สถานีสูบน้ำช่วยเหลือพื้นที่การเกษตร โครงการเกษตรผสมผสานมูโนะ ตำบลมูโนะ อำเภอสุไหงโก-ลก จังหวัดนราธิวาส
ขอบคุณข้อมูลจาก สำนักงานชลประทานที่ 6 กรมชลประทาน",หมู่ที่ 4 ตำบลเกาะสะท้อน อำเภอตากใบ จังหวัด นราธิวาส,#โครงการจัดหาน้ำให้ราษฎรบ้านตะเหลียง
4,มูลนิธิราชทัณฑ์ปันสุข,เพื่อให้สุขภาพกาย สุขภาพใจที่ดีนั้น เป็นสิ่งที่มีความสำคัญต่อคุณภาพชีวิตของประชาชน ไม่เว้นแม้แต่ผู้ต้องขัง ซึ่งก็คือประชาชนเช่นเดียวกัน,"พระบาทสมเด็จพระเจ้าอยู่หัว มีพระราชประสงค์จัดตั้งมูลนิธิราชทัณฑ์ปันสุข ทำความ ดี เพื่อชาติ ศาสน กษัตริย์ฯ ในพระบรมราชูปถัมภ์ โดยมีวัตถุประสงค์
1. เพื่อพระราชทานความช่วยเหลือในการจัดหาอุปกรณ์ เครื่องมือทางการแพทย์ และเวชภัณฑ์แก่โรงพยาบาลราชทัณฑ์ สถานพยาบาล โรงพยาบาลของหน่วยราชการ และโรงพยาบาลอื่น ๆ  ที่ให้การรักษาผู้ต้องขัง  รวมไปถึงเผยแพร่องค์ความรู้ด้านสุขภาพและการสาธารณสุขสู่ผู้ต้องขังและเจ้าหน้าที่
2. เพื่อส่งเสริมหน่วยงานจิตอาสาพระราชทาน 904 วปร. เข้าไปมีบทบาทในการช่วยเหลือด้านการแพทย์ การพยาบาล  การอบรมให้ความรู้ในเรื่องต่าง ๆ
3. เพื่อดูแลสุขภาพและสวัสดิภาพของผู้ต้องขังให้ได้รับสิทธิในการรักษาพยาบาลและการสาธารณสุขอย่างเท่าเทียมกันตามหลักมนุษยธรรม
4. ดำเนินการร่วมกับภาคราชการ เอกชน และองค์กรต่าง ๆ เพื่อให้ความช่วยเหลือ ผู้ต้องขังในด้านการแพทย์  การพยาบาล และการสาธารณสุข
5. ดำเนินการหรือร่วมมือกับองค์กรการกุศล และองค์กรสาธารณประโยชน์ เพื่อสาธารณประโยชน์อื่น ๆ ที่เกี่ยวข้องกับด้านสุขภาพและการสาธารณสุขของผู้ต้องขัง
6.  ดำเนินกิจกรรมอื่นใดที่ทรงพระกรุณาโปรดเกล้าโปรดกระหม่อมหรือโปรดให้ดำเนินการตามที่มีพระราชดำริเห็นสมควร และไม่ดำเนินการเกี่ยวข้องกับการเมืองแต่ประการใด โดยมีพระบาทสมเด็จพระเจ้าอยู่หัว และ เจ้าคุณพระสินีนาฏ พิลาสกัลยาณี รองประธานที่ปรึกษา รวมถึงสมเด็จพระเจ้าลูกเธอ เจ้าฟ้าพัชรกิติยาภา นเรนทิราเทพยวดี กรมหลวงราชสาริณีสิริพัชร มหาวัชรราชธิดา เป็นองค์ประธานกรรมการ",ทั่วประเทศ,#มูลนิธิราชทัณฑ์ปันสุข 
5,มูลนิธิพัชรสุธาคชานุรักษ์,เพื่อแก้ไขปัญหาความขัดแย้งรุนแรงระหว่างคนและช้างป่าที่เข้ามาบุกรุกพื้นที่ชุมชน,"พระบาทสมเด็จพระเจ้าอยู่หัว มีพระราชประสงค์จัดตั้ง มูลนิธิพัชรสุธาคชานุรักษ์ ในพระบรมราชูปถัมภ์ โดยมีวัตถุประสงค์
1. เพื่อส่งเสริมให้เห็นคุณค่าความสำคัญของช้างป่าตามธรรมชาติ การอนุรักษ์ช้างป่าตามธรรมชาติและการดูแลช่วยเหลือช้างป่าตามธรรมชาติ โดยเฉพาะในพื้นที่จังหวัดภาคตะวันออก
2. เพื่อสนับสนุน ส่งเสริม และแก้ไขปัญหาการอยู่ร่วมกันอย่างสมดุลระหว่างคนกับช้างป่าตามธรรมชาติ
3. ร่วมกับชุมชน หน่วยงานภาครัฐ เอกชน และองค์กรต่างๆ เพื่อสร้างความเข้าใจ ให้การช่วยเหลือ และแก้ไขปัญหาจากช้างป่าตามธรรมชาติบุกรุกหากินในพื้นที่การเกษตรของราษฎรหรือทำให้ราษฎรได้รับความเดือดร้อนโดยเฉพาะตามพื้นที่ในข้อ 1
4. ดำเนินการ หรือร่วมมือกับองค์กรการกุศล และองค์กรสาธารณประโยชน์ เพื่อสาธารณประโยชน์อื่นๆ ที่เกี่ยวข้องกับปัญหาช้างป่าตามธรรมชาติและสิ่งแวดล้อม
5. ดำเนินกิจกรรมอื่นใดที่ทรงพระกรุณาโปรดเกล้าโปรดกระหม่อมหรือโปรดให้ดำเนินการตามที่มีพระราชดำริเห็นสมควร และไม่ดำเนินการเกี่ยวข้องกับการเมืองแต่ประการใดยมี พระบาทสมเด็จพระเจ้าอยู่หัว และ สมเด็จพระนางเจ้าฯ พระบรมราชินี เป็นองค์ประธานที่ปรึกษา รวมถึงสมเด็จพระเจ้าลูกเธอ เจ้าฟ้าพัชรกิติยาภา นเรนทิราเทพยวดี กรมหลวงราชสาริณีสิริพัชร มหาวัชรราชธิดา เป็นองค์ประธานกรรมการ",จังหวัดฉะเชิงเทรา ชลบุรี ระยอง จันทบุรี และสระแก้ว ,#มูลนิธิพัชรสุธาคชานุรักษ์
6,มูลนิธิภูบดินทร์,เพื่อช่วยเหลือ ส่งเสริม และพัฒนาความเป็นอยู่ให้กับประชาชนที่อยู่อาศัยในเขตพื้นที่ที่ดินของรัฐทุกประเภท,"ในหลวง จัดตั้งมูลนิธิภูบดินทร์ ในพระบรมราชูปถัมภ์ เมื่อวันที่ 3  กันยายน  พ.ศ. 2564 ราชกิจจานุเบกษา ได้ประกาศนายทะเบียนมูลนิธิกรุงเทพ เรื่อง จัดตั้งมูลนิธิภูบดินทร์ ในพระบรมราชูปถัมภ์ โดยมีวัตถุประสงค์
1) ช่วยเหลือ ส่งเสริม และพัฒนาความเป็นอยู่ให้กับประชาชนที่อยู่อาศัยในเขตพื้นที่ที่ดินของรัฐทุกประเภท อาทิเช่น ป่าสงวนแห่งชาติ ป่าไม้ถาวร ป่าอนุรักษ์ตามกฎหมาย ป่าอนุรักษ์ตามมติคณะรัฐมนตรี ที่ราชพัสดุ หรือที่สาธารณประโยชน์ ฯลฯ ซึ่งมีการอนุญาตให้ใช้ประโยชน์จากทางราชการเป็นไปตามระเบียบ และข้อกฎหมายของพื้นที่นั้นๆ ให้มีคุณภาพชีวิตที่ดี สามารถดำรงชีพสอดคล้องกับวัฒนธรรม ขนบธรรมเนียม และประเพณี ตามวิถีชุมชนท้องถิ่น และเข้าถึงสิทธิขั้นพื้นฐานต่างๆ 
2) ส่งเสริมชุมชนให้มีการจัดการ ใช้ประโยชน์ และอนุรักษ์ทรัพยากรธรรมชาติในพื้นที่ชุมชนอย่างยั่งยืนสอดคล้องกับวิถีชีวิต 
3) เสริมสร้างความรู้ความเข้าใจ และประสานงานหน่วยงาน องค์กร ภาคเอกชน และประชาชนที่เกี่ยวข้องเพื่อร่วมกันแก้ไขปัญหาและสนับสนุนให้เกิดการพัฒนาชุมชนที่เหมาะสม 
4) ดำเนินการ หรือร่วมมือกับองค์กรการกุศล และองค์กรสาธารณประโยชน์ เพื่อสาธารณประโยชน์อื่นๆ ที่เกี่ยวข้องกับการพัฒนาชุมชนที่เหมาะสมในพื้นที่ดังกล่าว 
5) ดำเนินกิจกรรมอื่นใดที่ทรงพระกรุณาโปรดเกล้าโปรดกระหม่อมหรือโปรดให้ดำเนินการตามที่มีพระราชดำริเห็นสมควร และไม่ดำเนินการเกี่ยวข้องกับการเมืองแต่ประการใดยมี พระบาทสมเด็จพระเจ้าอยู่หัว และ สมเด็จพระนางเจ้าฯ พระบรมราชินี เป็นองค์ประธานที่ปรึกษา รวมถึงสมเด็จพระเจ้าลูกเธอ เจ้าฟ้าพัชรกิติยาภา นเรนทิราเทพยวดี กรมหลวงราชสาริณีสิริพัชร มหาวัชรราชธิดา เป็นองค์ประธานกรรมการ",ทั่วประเทศ,#มูลนิธิภูบดินทร์
7,สืบสานรักษาต่อยอด ประมงสร้างชีวิตพระมหากรุณาธิคุณจากในหลวง สู่ปวงชนชาวไทย โครงการอันเนื่องมาจากพระราชดำริ,เพื่อแก้ไขปัญหาความทุกข์ยากของพสกนิกรที่ประกอบอาชีพด้านต่าง ๆ อาชีพการประมงเป็นอีกอาชีพหนึ่ง ที่ได้รับการสนับสนุนพัฒนาให้เกิดการสร้างอาชีพ สร้างรายได้ มีชีวิตที่ดีขึ้น,"สืบสานรักษาต่อยอด ประมงสร้างชีวิตพระมหากรุณาธิคุณจากในหลวง สู่ปวงชนชาวไทย โครงการอันเนื่องมาจากพระราชดำริ ตามพระราชปณิธาน สืบสาน รักษา ต่อยอดของพระบาทสมเด็จพระเจ้าอยู่หัว นำมาซึ่งการแก้ไขปัญหาความทุกข์ยากของพสกนิกรที่ประกอบอาชีพด้านต่าง ๆ อาชีพการประมงเป็นอีกอาชีพหนึ่ง ที่ได้รับการสนับสนุนพัฒนาให้เกิดการสร้างอาชีพ สร้างรายได้ มีชีวิตที่ดีขึ้น อีกทั้งนำไปสู่การปลูกจิตสำนึกของการรักษา หวงแหน อนุรักษ์ทรัพยากรสัตว์น้ำธรรมชาติ ตามวัตถุประสงค์และเป้าหมายของโครงการอันเนื่องมาจากพระราชดำริของในหลวงรัชกาลที่ 10 จำนวน 77 โครงการ ใน 4 กิจกรรม คือ                                                                                                                                               
กิจกรรมที่ 1 ผลิตพันธุ์สัตว์น้ำ เพื่อปล่อยสัตว์น้ำ โดยเฉพาะพันธุ์ปลาไทย 9 ชนิด ประกอบด้วย ปลาตะเพียนขาว ปลาตะเพียนทอง ปลายี่สกไทย ปลาแก้มช้ำ ปลาสร้อยขาว ปลากระแห ปลาเทโพ ปลาโพง และปลากระโห้ ในแหล่งน้ำธรรมชาติ จำนวน 229,658,000 ตัว อันนำมาซึ่งการเปิดโอกาสให้พันธุ์ปลาไทยเหล่านี้เจริญเติบโตแพร่ขยายพันธุ์ เกิดการฟื้นฟูทรัพยากรสัตว์น้ำให้เกิดความสมดุลในระบบนิเวศน์ของแหล่งน้ำในธรรมชาติ และเกิดความอุดมสมบูรณ์ดังเช่นในอดีต อีกทั้งก่อเกิดประโยชน์ต่อการประกอบอาชีพและเป็นแหล่งอาหารของชุมชนอย่างยั่งยืน
สอง กิจกรรมถ่ายทอดความรู้และเทคโนโลยีด้านการประมง ด้วยการส่งเสริมและพัฒนาอาชีพการเพาะเลี้ยงสัตว์น้ำ และสนับสนุนปัจจัยการผลิต พร้อมกับให้คำแนะนำด้านการเลี้ยงสัตว์น้ำแก่เกษตรกร และด้านการแปรรูปสัตว์น้ำ จำนวน 9,200 ราย
สาม  กิจกรรมประมงโรงเรียน จำนวน 795 แห่ง
สี่  กิจกรรมจุดเรียนรู้และสาธิตการเพาะเลี้ยงสัตว์น้ำ จำนวน 52 แห่ง
